iter	Passed	Remaining
0	149	149354
1	151	75818
2	154	51361
3	157	39166
4	159	31750
5	163	27024
6	165	23538
7	168	20890
8	170	18822
9	173	17145
10	176	15825
11	178	14705
12	181	13751
13	183	12939
14	186	12264
15	189	11664
16	192	11105
17	194	10630
18	197	10195
19	200	9803
20	202	9458
21	205	9130
22	208	8839
23	210	8571
24	213	8341
25	216	8120
26	219	7908
27	221	7692
28	224	7507
29	227	7342
30	229	7175
31	231	7016
32	233	6840
33	237	6738
34	240	6636
35	243	6508
36	246	6418
37	249	6309
38	251	6204
39	255	6128
40	258	6044
41	261	5964
42	264	5892
43	267	5817
44	271	5754
45	274	5694
46	277	5619
47	280	5556
48	282	5477
49	284	5414
50	286	5339
51	290	5301
52	294	5259
53	297	5213
54	300	5166
55	303	5112
56	305	5053
57	307	4996
58	310	4948
59	313	4910
60	316	4864
61	317	4803
62	319	4750
63	322	4711
64	325	4682
65	328	4652
66	335	4675
67	339	4647
68	343	4630
69	346	4599
70	348	4563
71	351	4525
72	353	4489
73	356	4460
74	359	4430
75	361	4396
76	364	4365
77	366	4328
78	368	4296
79	371	4266
80	372	4229
81	375	4205
82	378	4180
83	382	4169
84	385	4145
85	387	4119
86	390	4094
87	393	4077
88	396	4057
89	399	4039
90	402	4017
91	404	3994
92	407	3974
93	410	3954
94	413	3935
95	417	3935
96	422	3928
97	423	3896
98	424	3864
99	428	3853
100	430	3828
101	432	3810
102	435	3793
103	437	3770
104	442	3768
105	443	3739
106	449	3751
107	452	3734
108	454	3715
109	457	3698
110	460	3685
111	462	3665
112	464	3642
113	465	3621
114	468	3605
115	470	3589
116	473	3574
117	475	3557
118	477	3532
119	479	3515
120	482	3505
121	485	3494
122	487	3477
123	489	3461
124	492	3444
125	494	3428
126	496	3411
127	498	3396
128	500	3380
129	502	3365
130	504	3349
131	506	3332
132	508	3316
133	510	3300
134	512	3285
135	514	3270
136	516	3255
137	518	3239
138	521	3231
139	523	3217
140	525	3203
141	528	3190
142	530	3177
143	531	3162
144	533	3148
145	535	3134
146	537	3121
147	539	3107
148	541	3095
149	544	3083
150	546	3072
151	549	3064
152	551	3054
153	554	3045
154	557	3037
155	559	3027
156	561	3014
157	563	3002
158	565	2990
159	568	2982
160	570	2974
161	573	2965
162	575	2954
163	577	2943
164	579	2932
165	581	2922
166	583	2910
167	585	2899
168	587	2889
169	589	2877
170	591	2866
171	593	2855
172	594	2843
173	596	2832
174	598	2823
175	600	2813
176	603	2806
177	605	2794
178	607	2784
179	608	2773
180	611	2767
181	613	2757
182	615	2748
183	617	2738
184	619	2728
185	621	2720
186	623	2710
187	625	2701
188	627	2692
189	629	2683
190	632	2679
191	634	2671
192	637	2663
193	646	2685
194	648	2676
195	650	2666
196	651	2657
197	654	2649
198	655	2639
199	657	2630
200	659	2622
201	660	2610
202	662	2602
203	665	2596
204	667	2590
205	670	2584
206	672	2578
207	676	2574
208	684	2590
209	686	2583
210	689	2579
211	692	2573
212	695	2568
213	697	2561
214	700	2556
215	702	2549
216	704	2542
217	707	2537
218	710	2532
219	712	2527
220	715	2522
221	717	2516
222	720	2509
223	722	2503
224	725	2497
225	727	2491
226	729	2484
227	732	2479
228	734	2471
229	736	2465
230	738	2459
231	740	2451
232	742	2444
233	744	2437
234	746	2431
235	748	2424
236	751	2417
237	753	2411
238	755	2405
239	757	2398
240	759	2391
241	761	2384
242	764	2380
243	766	2375
244	769	2369
245	771	2364
246	774	2359
247	776	2355
248	778	2349
249	780	2342
250	782	2335
251	784	2329
252	786	2323
253	788	2316
254	790	2308
255	792	2302
256	794	2298
257	797	2294
258	800	2289
259	802	2284
260	804	2278
261	807	2275
262	809	2269
263	812	2264
264	814	2258
265	816	2252
266	818	2247
267	820	2241
268	822	2235
269	824	2229
270	826	2224
271	829	2219
272	831	2213
273	833	2207
274	835	2201
275	837	2195
276	839	2190
277	841	2184
278	843	2178
279	845	2173
280	847	2167
281	849	2162
282	851	2156
283	853	2151
284	855	2146
285	857	2141
286	859	2135
287	861	2129
288	863	2125
289	865	2120
290	868	2115
291	870	2109
292	871	2103
293	873	2098
294	875	2093
295	877	2087
296	879	2082
297	881	2077
298	883	2072
299	886	2067
300	888	2062
301	889	2056
302	892	2052
303	894	2047
304	896	2043
305	898	2037
306	900	2033
307	902	2028
308	904	2023
309	907	2019
310	909	2014
311	911	2009
312	913	2004
313	915	2000
314	917	1995
315	919	1990
316	921	1986
317	924	1983
318	928	1981
319	931	1980
320	934	1976
321	936	1971
322	938	1967
323	940	1962
324	942	1957
325	944	1953
326	947	1949
327	948	1944
328	950	1939
329	952	1934
330	954	1929
331	956	1924
332	958	1919
333	960	1914
334	962	1909
335	963	1904
336	965	1900
337	967	1895
338	969	1890
339	971	1885
340	973	1880
341	975	1875
342	976	1871
343	978	1866
344	980	1862
345	983	1858
346	985	1854
347	987	1849
348	989	1844
349	990	1840
350	992	1835
351	994	1830
352	996	1826
353	998	1821
354	1000	1817
355	1001	1812
356	1003	1808
357	1005	1803
358	1007	1798
359	1009	1794
360	1011	1789
361	1013	1785
362	1015	1781
363	1017	1777
364	1019	1773
365	1021	1769
366	1023	1765
367	1025	1761
368	1027	1757
369	1029	1752
370	1031	1748
371	1032	1743
372	1035	1739
373	1036	1735
374	1038	1731
375	1040	1727
376	1042	1722
377	1044	1718
378	1046	1714
379	1048	1709
380	1049	1705
381	1051	1701
382	1053	1697
383	1055	1693
384	1057	1689
385	1059	1684
386	1061	1680
387	1063	1676
388	1064	1672
389	1066	1668
390	1068	1664
391	1070	1660
392	1072	1656
393	1074	1652
394	1076	1648
395	1077	1644
396	1079	1640
397	1081	1636
