iter	RMSE
0	5.297474284
1	5.206308942
2	5.119448816
3	5.03362704
4	4.938032996
5	4.8365387
6	4.764861534
7	4.682421926
8	4.590047376
9	4.522583795
10	4.446738243
11	4.382236534
12	4.300208894
13	4.213544883
14	4.130646283
15	4.055070107
16	3.981153833
17	3.917103796
18	3.850927916
19	3.774566884
20	3.709544556
21	3.648243382
22	3.577351297
23	3.511325572
24	3.452143842
25	3.398332423
26	3.340430448
27	3.290274316
28	3.237938232
29	3.179291245
30	3.123937671
31	3.074254803
32	3.014590363
33	2.965879165
34	2.912268642
35	2.860989414
36	2.808465289
37	2.762302839
38	2.712793377
39	2.663811008
40	2.614305919
41	2.578761702
42	2.533834703
43	2.491286556
44	2.449847261
45	2.403125355
46	2.364722333
47	2.326451078
48	2.28702207
49	2.250008533
50	2.214984889
51	2.17793449
52	2.144563854
53	2.110960868
54	2.079609306
55	2.045691977
56	2.017461615
57	1.984662493
58	1.956258344
59	1.926626514
60	1.891692848
61	1.867307347
62	1.844186347
63	1.818953143
64	1.78897409
65	1.75868196
66	1.730264829
67	1.708450817
68	1.683171518
69	1.655537674
70	1.635345468
71	1.611537802
72	1.591210264
73	1.566152282
74	1.545027716
75	1.526271735
76	1.504913817
77	1.486847278
78	1.465510396
79	1.446673011
80	1.427220344
81	1.405269997
82	1.385355092
83	1.368549504
84	1.347011652
85	1.327983035
86	1.311326813
87	1.291753947
88	1.272334323
89	1.260395765
90	1.243292819
91	1.22660917
92	1.214090681
93	1.198990343
94	1.182341961
95	1.166185952
96	1.152216049
97	1.138398661
98	1.126727627
99	1.113239305
100	1.100978887
101	1.089863744
102	1.075469593
103	1.062759036
104	1.050988216
105	1.038437661
106	1.027957526
107	1.016141464
108	1.001345709
109	0.9898740553
110	0.9785918616
111	0.9674916514
112	0.9559988087
113	0.9436833622
114	0.9327579247
115	0.9227351345
116	0.9105464776
117	0.9000431722
118	0.8897383354
119	0.8808902103
120	0.8709082804
121	0.8589588209
122	0.8503555503
123	0.8419812678
124	0.8337160484
125	0.8260899377
126	0.817789345
127	0.8093302665
128	0.8005591235
129	0.793231428
130	0.7846724002
131	0.775699994
132	0.7683523719
133	0.7597897383
134	0.750724754
135	0.7419066216
136	0.7341771948
137	0.7251593591
138	0.7176595868
139	0.7107210988
140	0.7046604926
141	0.698943598
142	0.6926381501
143	0.6859176795
144	0.6799352715
145	0.6722444475
146	0.6655912064
147	0.6597670213
148	0.6534476536
149	0.6458498219
150	0.6392571749
151	0.6327108902
152	0.6260369113
153	0.6214874692
154	0.6156605197
155	0.6108323394
156	0.6059922041
157	0.6002869167
158	0.5941903538
159	0.5893178833
160	0.5852125819
161	0.5799700789
162	0.5752720092
163	0.5712795104
164	0.5655607653
165	0.5601856071
166	0.5554329372
167	0.5508234566
168	0.5460019646
169	0.5422104774
170	0.5374264831
171	0.5334452035
172	0.5300637749
173	0.5267939488
174	0.5227461416
175	0.5186370637
176	0.5147337201
177	0.5107535879
178	0.5065784683
179	0.5029855847
180	0.4994696896
181	0.4955265668
182	0.4921548511
183	0.4882779572
184	0.4837359299
185	0.4797129154
186	0.4765675696
187	0.4735229689
188	0.4703129903
189	0.4667129981
190	0.4631836349
191	0.4604055549
192	0.4566607792
193	0.4536210235
194	0.4501138552
195	0.4471185967
196	0.4441240856
197	0.4409713139
198	0.4383044941
199	0.4351524428
200	0.4314046427
201	0.4280893169
202	0.4244604113
203	0.4211111095
204	0.4185015959
205	0.4158916543
206	0.4128172037
207	0.4098748039
208	0.406938104
209	0.4046054589
210	0.4016557267
211	0.3990506066
212	0.3965675421
213	0.3943836053
214	0.392042033
215	0.3892979176
216	0.3868011421
217	0.3842869951
218	0.3821248636
219	0.3801795773
220	0.378302015
221	0.3764976187
222	0.3738858155
223	0.371991493
224	0.3700555672
225	0.3675533159
226	0.3656298993
227	0.3628783448
228	0.3609296107
229	0.3594119667
230	0.3572216391
231	0.3555774314
232	0.3534039379
233	0.3506914918
234	0.3484074107
235	0.3467968258
236	0.3447383676
237	0.3431887069
238	0.3411889478
239	0.3399330336
240	0.3378216004
241	0.3361592692
242	0.3341106372
243	0.3325490893
244	0.3311384981
245	0.3288979832
246	0.3270984234
247	0.3251656853
248	0.3242679011
249	0.3229968306
250	0.3208580892
251	0.3197890222
252	0.3177612616
253	0.3156910306
254	0.3144992677
255	0.3127337729
256	0.3117585868
257	0.3109704122
258	0.3100686648
259	0.3085974009
260	0.3069289842
261	0.3055175528
262	0.3042279937
263	0.3029023069
264	0.3020360013
265	0.3011420285
266	0.3003890457
267	0.2996518921
268	0.2980909876
269	0.2973506374
270	0.2955764891
271	0.294118697
272	0.2931866453
273	0.2923946561
274	0.2910048804
275	0.289249784
276	0.2878989383
277	0.2865916373
278	0.2853298569
279	0.2838605698
280	0.283249576
281	0.2815610642
282	0.2806790984
283	0.279262459
284	0.2784449442
285	0.2773578384
286	0.2762611403
287	0.2750252586
288	0.2737111916
289	0.2724177268
290	0.2713629028
291	0.2701395777
292	0.2692026567
293	0.2686349538
294	0.2681495465
295	0.2671374731
296	0.2665727518
297	0.2660982828
298	0.2655373338
299	0.2645623853
300	0.2639064108
301	0.2628930609
302	0.2625190115
303	0.2619246376
304	0.2614091067
305	0.2609338372
306	0.2604359058
307	0.2598831078
308	0.2584937235
309	0.2571217922
310	0.2565094539
311	0.2550075437
312	0.2535759809
313	0.2531149316
314	0.2516958336
315	0.2504328002
316	0.2500217974
317	0.2496070385
318	0.2490226475
319	0.2482164666
320	0.2478150049
321	0.2474845398
322	0.2462554909
323	0.244906037
324	0.2435643684
325	0.2424839097
326	0.2416782111
327	0.2403290296
328	0.2399155263
329	0.2391206089
330	0.2385766351
331	0.2380555619
332	0.2371135044
333	0.2368188529
334	0.2364808393
335	0.2355151238
336	0.2349616225
337	0.2346795236
338	0.2341780139
339	0.2339681238
340	0.2329754868
341	0.2324926482
342	0.2320111451
343	0.2317767503
344	0.2315176637
345	0.2310623127
346	0.2301906121
347	0.2298892766
348	0.229440392
349	0.2290879449
350	0.2288706047
351	0.2285191368
352	0.2274230379
353	0.2272125315
354	0.2262475511
355	0.2260171176
356	0.2249916976
357	0.2245891544
358	0.2237025921
359	0.2229424808
360	0.2227486793
361	0.2218312012
362	0.2216205583
363	0.2213201016
364	0.2204675613
365	0.2198254252
366	0.2188731797
367	0.2179576023
368	0.2177129923
369	0.2175341654
370	0.2173590486
371	0.2171023177
372	0.2168416387
373	0.2163269233
374	0.2154923596
375	0.2153274297
376	0.2147047516
377	0.214206961
378	0.2140178595
379	0.213206351
380	0.2128677061
381	0.2119938385
382	0.2118448172
383	0.2116699946
384	0.2110161003
385	0.2108714967
386	0.2099097698
387	0.2097367664
388	0.2095177614
389	0.209373864
390	0.2089867105
391	0.2088124917
392	0.2082580418
393	0.2080184486
394	0.2078886339
395	0.2077162027
396	0.2071059932
397	0.2069425217
398	0.2061570411
399	0.2057243645
400	0.2052238805
401	0.204722008
402	0.2039938368
403	0.2036470296
404	0.202957898
405	0.2027857916
406	0.2019703204
407	0.2011730635
408	0.2007722548
409	0.200312054
410	0.1996789548
411	0.1989040891
412	0.1982127584
413	0.197397766
414	0.1964159336
415	0.1962607946
416	0.1957259958
417	0.1950583487
418	0.1946768163
419	0.1944235851
420	0.193717873
421	0.1935681015
422	0.1934584416
423	0.19304588
424	0.1928064049
425	0.1926231541
426	0.192144962
427	0.1915863521
428	0.1912246781
429	0.1906493764
430	0.1900117147
431	0.1896639465
432	0.1895545762
433	0.1893324048
434	0.1887495745
435	0.1879611191
436	0.1878474641
437	0.1874067908
438	0.1866108447
439	0.1864485632
440	0.1862904023
441	0.1854191689
442	0.1846092246
443	0.1840796987
444	0.1837572591
445	0.1836231344
446	0.1830736073
447	0.1823686301
448	0.1817076945
449	0.1815545675
450	0.1810809626
451	0.1806204631
452	0.1801166064
453	0.1800038225
454	0.1791186842
455	0.1785335328
456	0.1783711968
457	0.1782894257
458	0.1775444891
459	0.1774643943
460	0.1773443214
461	0.1767170329
462	0.1765617093
463	0.1759244474
464	0.1758113349
465	0.1751440143
466	0.1746371407
467	0.1742380746
468	0.1740293646
469	0.1736832653
470	0.1732207223
471	0.17314624
472	0.1727519209
473	0.1722764775
474	0.1718459126
475	0.171249127
476	0.1711050953
477	0.1705980866
478	0.1705124406
479	0.1701698611
480	0.1700853278
481	0.1696707519
482	0.1693595577
483	0.1689946485
484	0.1688937685
485	0.1684247993
486	0.1678228873
487	0.1674793801
488	0.1674042136
489	0.1669288512
490	0.1666283286
491	0.1665175562
492	0.1658825678
493	0.1654304642
494	0.1653403021
495	0.1652522024
496	0.1648712929
497	0.1645241331
498	0.1644410571
499	0.1643363896
500	0.1637722692
501	0.1633327552
502	0.162805252
503	0.1626246807
504	0.1617364798
505	0.1612852371
506	0.1609008288
507	0.1608332911
508	0.1602206448
509	0.1597907947
510	0.1595774572
511	0.1595067041
512	0.1592383047
513	0.1587440779
514	0.1581318237
515	0.157564773
516	0.1574888789
517	0.1569221495
518	0.1564100818
519	0.15606078
520	0.1552751063
521	0.154768893
522	0.1540584687
523	0.1535737424
524	0.1528972031
525	0.1525834539
526	0.1525216186
527	0.1522072886
528	0.1518656475
529	0.1515014237
530	0.1514088173
531	0.1509820133
532	0.1504649091
533	0.1498274193
534	0.1496338465
535	0.1492025633
536	0.1485728448
537	0.148034009
538	0.1474423062
539	0.1472945933
540	0.1469153218
541	0.1463499952
542	0.1462681325
543	0.1455853209
